status	authors	title	abstract	tags	difficulty	recording	bio	country
Accepted	Jeremy Johnson	Developing an Open Source Keyword Framework for Windmill that Rocks!	"The project is to develop a keyword-testing framework for use with the Windmill automated testing tool. The advantages of a keyword-testing framework are: Allows non-technical resources to develop scripts. Provides a clear separation of roles between the technical automation engineers, and the functional experts. Allows for greater re-use of automation assets. Provides for faster test creation and easier maintenance. Because of these advantages many automated testing tools have chosen to build their own keyword framework.  I intend to borrow the best ideas and implementations from the existing keyword frameworks tools and develop a new keyword-testing framework specifically for use with the Windmill Automated Testing Tool. This presentation will cover the design ideas and implementation of a keyword-testing tool.  It will discuss the pros and cons of keyword testing and the rational behind the development of this tool.  Also we will talk about a road map of needed functionally for the keyword-testing framework.  Finally the presentation will unveil / release, as open source, the keyword-testing framework for Windmill version 0.1. Practical Takeaway 1:  Participants will take away a solid understanding of keyword testing frameworks, the rational behind them and when to use them. Practical Takeaway 2:  Participants will get an overview of the, to be released at the conference, keyword automation framework and understand how to implement it and use it for their own testing projects. Practical Takeaway 3:  Participants will get a view of how open source development works and particularly about how open source practices contribute to developing outstanding testing tools that can compliment their automated testing efforts."	"automated testing, development, keyword framework, windmill"	Intermediate	Yes	"Jeremy Johnson is an automated testing specialist / developer with over 10 years work experience.  Jeremy's previous work experience includes development (C/C++/C#, Java, VB, python) and automated Testing (Performance, UI, test management).  Jeremy currently runs a software development and automation-testing firm (Softworks Consultancy) headquartered in Kuala Lumpur Malaysia.  The small boutique firm (10 people) is spearheading the transformation of software testing in South East Asia.  When Softworks started 6 years ago in Malaysia, most IT companies were barely even testing their products, automation was unheard of, so for the last 6 years Softworks has been educating the IT industry as well as delivering quality services around automated software testing and development."	Malaysia
Accepted	Chris Boesch	Tournament-based Teaching	"In the course of teaching Cloud Computing and SasS at the Singapore Management University, I developed an interesting approach to teaching referred to as Tournament-based Teaching. In this approach, students begin most class sessions by competing in a short software tournament to ensure that they are prepared to participate in the labs and discussions planned for the class session. In this talk, I will share the process that was followed, the unexpected benefits, the learning outcomes achieved, and lessons learned. "	"cloud computing, serious gaming, game based learning"	Beginner	Yes	Associate Professor of Information Systems (Practice) at Singapore Management University	Singapore
Accepted	Eric Jones	Traits: A Component Library for Python	"Traits provides a library and design pattern for building ""components"" and user interfaces within Python.  It is foundational to almost all the libraries in the Enthought Tool Suite (ETS) including Chaco (2D visualization), Mayavi (3D visualization), and Envisage (an application development toolkit), all of which are open source.  This talk will provide an overview of the traits library and how to use it for building applications and user interfaces. Developers use the package by defining ""traits"" on attributes within a normal Python class.  This trait provides type definition that can be used for normal Python object attributes, giving the attributes some additional characteristics: * Initialization: A trait has a default value, which is automatically set as the initial value of an attribute before its first use in a program. * Validation: A trait attribute's type is explicitly declared . The type is evident in the code, and only values that meet a programmer-specified set of criteria (i.e., the trait definition) can be assigned to that attribute. Note that the default value need not meet the criteria defined for assignment of values. * Delegation: The value of a trait attribute can be contained either in the defining object or in another object delegated to by the trait. * Notification: Setting the value of a trait attribute can notify other parts of the program that the value has changed. * Visualization: User interfaces that allow a user to interactively modify the value of a trait attribute can be automatically constructed using the trait's definition.  The UI layer in traits is cross platform and works with both the wxPython and QT windowing toolkits. A class can freely mix trait-based attributes with normal Python attributes, or can opt to allow the use of only a fixed or open set of trait attributes within the class. Trait attributes defined by a class are automatically inherited by any subclass derived from the class."		Beginner to Intermediate	Yes	"Eric Jones is CEO of Enthought, Inc., a scientific computing company based in Austin, Texas."	USA
Accepted	O.R.Senthil Kumaran	State of CPython and Python Ecosystem	"This a high level overview of the State of CPython interpreter and other Python interpreters.State of Cpython interpreter: Major changes in the language in 3.2 release, Major changes which are coming up in 3.3 release, State of Python 2.7. State of PyPy interpreter: Features in PyPy release 1.4, It's compatibility with CPython, It's interesting performance enhancements in recent times, Where is PyPy heading towards? IronPython Interpreter: IronPython 2.7 release, State of IronPython. State of Jython Interpreter: Jython release. 2.5.4, Developments in the Jython world"	"python3, pypy, jython, ironpython"	Intermediate	Yes	Senthil Kumaran is a Python Core developer and maintainer of Internet protocol related libraries in Python Stadard Library. http://www.uthcode.com is his programming site.	Singapore
Accepted	"Tan Kok Cheng, Vincent Ng"	Using Python Client Library for Google Data APIs	"The Google Data Protocol (GDP) is a REST-based technology for accessing products and services hosted by Google. The GDP enables developers to create new applications that make use of the data stored by the many Google products such as Picasa Web Album and Google Finance. In this session, we will share about the use of the Python Client Library to create some simple applications. We will show how the use of the client library removes the complexity of dealing with HTTP requests and parsing of raw XML data. We will also discuss about the authentication process and the format of the various data feeds. The following Google products and services will be covered in this talk:  1. Picasa Web Albums 2. Google Finance 3. Google Calendar 4. Google Analytics 5. Google Spreadsheets "	google data api	Beginner	No	"Mr Tan Kok Cheng, Senior Academic Staff, Republic Polytechnic; Mr Vincent Ng, Academic Staff, Republic Polytechnic"	Singapore
Accepted	Brett Hartshorn	Using RPython for 3D Gaming in Android 2.3+	"Using RPython (from the PyPy translation toolchain) to compile native code using the Android NDK (native dev-kit), and connecting with C libraries useful for games (OpenDynamicsEngine, OpenGLES).  Talk starts with an introduction to RPython, and using RPython and OpenGL on standard Linux.  How to generate extra bindings to C libraries for use with RPython.  Finally how to compile and test RPython programs using the Android emulator."	"rpython, android, game programming"	Advanced	Yes	Python Programming (currently working on the realxtend project)	Philippines
Accepted	Simone Brunozzi	Leveraging Cloud Computing to Launch Python Apps	"You already know how to develop in Python, and how to put your apps online. But what happens when you're looking for the IT Infrastructure to power your App? That's what Cloud Computing can help you with. Simone Brunozzi, Amazon Web Services Technology Evangelist for APAC, will guide you through the basic concepts behind Cloud Computing, and showcase the advantages of a flexible and scalable Cloud Infrastructure, over a traditional infrastructure model."	"cloud computing, amazon web services"	Intermediate	Yes	"I've been a PHP developer, and used Python only for a few months. This talk, however, doesn't focus too much on Python itself, but rather on how to run Python on a flexible, scalable infrastructure. Technology Evangelist, Amazon Web Services APAC"	Singapore
Accepted	Mark Rees	What Do You Mean It Must Be Java Based! How Jython Saved The Day.	"For many companies, enterprise software means it must run in a Java environment, and if your offering is Python based, how do you get past this impediment? This talk will showcase Jython (http://jython.org/) as a way to get your Python app running under the Java VM. The talk will cover Jython setup & use, a comparison to CPython, and leveraging Java libraries when necessary. The steps to get your SQLAlchemy, Django and Pyramid based applications running under Jython will be part of this talk. The talk is based on the experiences of our company deploying both our existing CPython applications and Java specific scripts under Jython."	"web, jython"	Intermediate	Yes	"Over his 25+ years as a programmer, Mark has programmed in many languages, but has the most fun programming in Python which he has been using since 1997 aka Python 1.4. He is the lead on the isapi_wsgi adaptor project, and a contributor to a number of Python Open Source projects. His current day job is Chief Technology Officer for Century Software (M) Sdn Bhd, a Malaysian software solutions company that uses Python & Open Source software in many of itæ_s offerings. He has spoken at a number of Open Source conferences about Python."	Malaysia
Accepted	Graham Dumpleton	Hosting Python Web Applications	"Web applications which are able to dynamically deliver up content have become a crucial part of the Internet landscape, with Python becoming an increasingly popular choice for the implementation of all manner of web applications. In order though for users to be able access your web application you need to host it. The choices available are however many and varied with accurate information on which may be a good choice not always easy to find. This talk will give an overview of the different choices available for hosting Python web applications. It will cover mainstream web servers such as Apache and nginx, contrast the architectural differences between them and then go on to look at how Python web applications are bolted on to these web servers via language agnostic protocols such as FASTCGI/SCGI/AJP or more integrated solutions such as Apache/mod_wsgi and uWSGI. The alternate architecture of using a standalone Python web server such as gunicorn, Paste server or the CherryPy WSGI server behind a conventional web server acting as HTTP proxy will also be described. The overall aim of the talk will be to give people a better appreciation for how web servers and your Python web application come together and some of the pros and cons of different solutions."	"web programming, wsgi"	Intermediate	Yes	Graham Dumpleton hails out of Sydney Australia and has been active in free and open source projects since the early 90s. He is the author of the mod_wsgi module for Apache and also participated as a developer on the mod_python module for Apache. Graham is a member of both the Python Software Foundation and Apache Software Foundation. Graham is currently working for New Relic on production web application monitoring tools for Python.	Australia
Accepted	Graham Dumpleton	Getting Started with Apache/mod_wsgi	"The preferred method for hosting of Python web applications in conjunction with Apache at this time is mod_wsgi. This talk will cover how to get started with hosting a Python web application using Apache/mod_wsgi. The talk will progress through setting up a basic hello world WSGI application, describing the common configuration problems that can occur and the solutions. A more advanced example showing how to set up a Django web site will be described, including topics such as configuring Apache for handling of static media required by the Django site, use of Python virtual environments, source code reloading and use of daemon mode of mod_wsgi. This talk is effectively a repeat of the same talk given at Australian and New Zealand PyCon conferences in 2010. Video for the prior talk at Sydney can be found at http://pyconau.blip.tv/file/3840484/ with slides available at 'http://code.google.com/p/modwsgi/downloads/detail?name=mod_wsgi-pyconsydney-2010.pdf."	"web programming, wsgi"	Intermediate	Yes	Graham Dumpleton hails out of Sydney Australia and has been active in free and open source projects since the early 90s. He is the author of the mod_wsgi module for Apache and also participated as a developer on the mod_python module for Apache. Graham is a member of both the Python Software Foundation and Apache Software Foundation. Graham is currently working for New Relic on production web application monitoring tools for Python.	Australia
